**Constraint**,"Ràng buộc, validation, giới hạn",39
**Computation**,"Tính toán, chuyển đổi, xử lý",12
**Trigger**,Hành động tự động khi event xảy ra,23
**Inference**,"Suy luận, quyết định logic",7

13. Rule Priority Legend
Priority,Meaning,Enforcement
**High**,Critical for functionality,"Must implement, block on violation"
**Medium**,Important for UX,"Should implement, warn on violation"
**Low**,Nice to have,"Can defer, soft guidance"

14. Rule Validation Summary
Category,Total
1. Authentication,4,1,3,0,**10**
2. POI Management,10,4,2,3,**19**
3. Tour Management,2,1,2,1,**7**
4. Map & Audio,1,0,3,1,**6**
5. Location & Trigger,5,1,1,1,**10**
6. Language,0,1,2,2,**5**
7. Cache & Offline,2,0,3,0,**5**
8. Analytics & Audit,0,1,4,0,**5**
9. Tourist User,2,0,1,1,**5**
10. QR Code,1,1,2,0,**4**
**11. Shop Owner**,**6**,**0**,**0**,**0**,**6**
**Total**,**33**,**10**,**23**,**9**,**82**
