Mã,Câu hỏi,Loại,Options,Trả lời
'2.8.1.4,Token expiration policy? (hours),Number,,
'2.8.1.5,Refresh token mechanism?,Boolean,Có / Không,
'2.8.2,Data Security,,,
'2.8.2.1,Data encryption at rest?,Boolean,Có / Không,
'2.8.2.2,Data encryption in transit? (HTTPS),Boolean,Có / Không,
'2.8.2.3,PII data handling?,Text,,
'2.8.2.4,Location data privacy?,Select,"Not stored on server, Stored anonymized, Stored with consent",
'2.8.2.5,Data anonymization for analytics?,Boolean,Có / Không,
'2.8.3,API Security,,,
'2.8.3.1,Rate limiting thresholds? (requests/min),Number,,
'2.8.3.2,DDoS protection needed?,Boolean,Có / Không,
'2.8.3.3,Input validation approach?,Text,,
'2.8.3.4,SQL injection prevention?,Text,,
'2.8.3.5,CORS policy?,Text,,
'2.9,Analytics & Monitoring,,,
'2.9.1,User Analytics,,,
'2.9.1.1,Events cần track?,MultiSelect,"App open/close, Kiosk enter/exit, Content play/pause/complete, Audio duration, Language selection, Share actions, Errors",
'2.9.1.2,Analytics platform?,Select,"Google Analytics, Mixpanel, Amplitude, Custom (self-hosted)",
'2.9.1.3,Real-time analytics dashboard?,Boolean,Có / Không,
'2.9.1.4,User journey tracking/funnel?,Boolean,Có / Không,
'2.9.2,System Monitoring,,,
'2.9.2.1,Metrics cần monitor?,MultiSelect,"API response time, Error rates, Active users, Server CPU/Memory, Database performance, Cache hit ratio",
'2.9.2.2,Logging strategy?,Select,"Structured logging (JSON), Log aggregation (ELK CloudWatch)",
'2.9.2.3,Alerting rules?,MultiSelect,"Error rate > X%, Response time > Yms, Server down",
'2.9.2.4,Tracing (distributed tracing)?,Boolean,Có / Không,
'2.10,Performance & Scalability,,,
'2.10.1,Performance Requirements,,,
'2.10.1.1,API response time target? (ms),Select,"<100ms (fast), <500ms (normal), <1000ms (acceptable)",
'2.10.1.2,App startup time target? (seconds),Number,,
'2.10.1.3,Time to first content display? (seconds),Number,,
'2.10.1.4,Location detection latency? (seconds),Number,,
'2.10.1.5,Kiosk switch latency target? (seconds),Number,,
'2.10.2,Scalability Design,,,
'2.10.2.1,Horizontal scaling needed?,Boolean,Có / Không,
'2.10.2.2,Auto-scaling rules?,Select,"CPU-based, Request count-based, Custom metrics",
'2.10.2.3,Load balancing strategy?,Select,"Round-robin, Least connections, Geographic",
'2.10.2.4,Database scaling strategy?,Select,"Read replicas, Sharding, Connection pooling",
'2.10.2.5,CDN cho static assets?,Boolean,Có / Không,
'2.11,CI/CD & DevOps,,,
'2.11.1,Source control?,Select,"GitHub, GitLab, Bitbucket",
'2.11.2,Branching strategy?,Select,"GitFlow, Trunk-based, Feature branching",
'2.11.3,CI/CD platform?,Select,"GitHub Actions, GitLab CI, Jenkins, CircleCI",
'2.11.4,Deployment strategy?,Select,"Blue-green, Canary, Rolling update",
'2.11.5,Environment setup?,MultiSelect,"Development, Staging, Production",
'2.11.6,Infrastructure as Code?,Select,"Terraform, CloudFormation, Pulumi, Manual",
'2.11.7,Container orchestration?,Select,"Kubernetes, Docker Compose, ECS/Fargate, No containers",
'2.12,Error Handling & Recovery,,,
'2.12.1,Retry policy cho failed requests?,Text,,
'2.12.2,Circuit breaker pattern cần không?,Boolean,Có / Không,
'2.12.3,Graceful degradation scenarios?,MultiSelect,"Location down → manual QR, Audio down → text only, DB down → cached data",
'2.12.4,Error reporting to users?,Text,,
'2.12.5,Error tracking service?,Select,"Sentry, Bugsnag, Rollbar, Custom",
'3,YÊU CẦU PHI CHỨC NĂNG,,,
'3.1,Nền tảng & Công nghệ,,,
'3.1.1,Loại ứng dụng?,Select,"PWA, React Native, Flutter, Native",
'3.1.2,Backend framework?,Select,"NestJS, Spring Boot, FastAPI, Go",
'3.1.3,Database?,Select,"PostgreSQL, MySQL, MongoDB",
'3.1.4,Hosting?,Select,"AWS, GCP, Azure, VPS Vietnam",
'3.2,Nội dung Thuyết minh,,,
'3.2.1,Định dạng content?,MultiSelect,"Text, Audio, Cả hai",
'3.2.2,Audio source?,Select,"TTS, Thu âm thật, Kết hợp",
'3.2.3,Ngôn ngữ?,MultiSelect,"VN, EN, CN, KR, JP",
'3.2.4,Độ dài mỗi bài?,Select,"30-60s, 1-2 phút, 3-5 phút",
'3.3,User Experience,,,
'3.3.1,Authentication?,Select,"Không, Optional, Required",
'3.3.2,Offline mode?,Boolean,Có / Không,
'3.3.3,Push notifications?,Boolean,Có / Không,
'3.4,Admin Features,,,
'3.4.1,Admin dashboard?,Boolean,Có / Không,
'3.4.2,Analytics level?,Select,"Basic, Advanced, Custom",
'3.4.3,Content management?,Select,"Simple, Full CMS",
'3.5,Timeline & Resources,,,
'3.5.1,MVP deadline?,Date,,
'3.5.2,Budget range? (VND),Text,,
'3.5.3,Team size?,Number,,
'4,EDGE CASES & SCENARIOS,,,
'4.1,Xử lý Tình huống Đặc biệt,,,
'4.1.1,User di chuyển rất nhanh qua nhiều kiosk - xử lý?,Text,,
'4.1.2,User quay lại kiosk đã nghe - xử lý?,Text,,
'4.1.3,User đứng yên ở vùng giao thoa lâu - xử lý?,Text,,
'4.1.4,Mất kết nối internet giữa chừng - xử lý?,Text,,
'4.1.5,Kiosk tạm đóng cửa - xử lý?,Text,,
'4.1.6,Battery sắp hết - xử lý?,Text,,
'4.1.7,GPS/Beacon signal yếu hoặc không ổn định - xử lý?,Text,,
'4.1.8,User không cấp quyền location - xử lý?,Text,,
'4.1.9,Nhiều user trong cùng vùng (crowded area) - xử lý?,Text,,
'4.1.10,App chạy background/bị kill - xử lý?,Text,,
